FCI,slug,nazov,vyska_verejna,hmotnost_verejna,sekcia_verejna,image_url,zistenia,obrazok_http_status,obrazok_content_type
209,tibetsky-terier,Tibetský teriér,36–41 cm,,Tibetské plemená,/media/articles/2026/7f5d3701-29ee-4c38-b9cc-d5448ac96384.jpg,chybajuca verejna hmotnost; editorial_complete=0,200,image/jpeg
231,tibetsky-spaniel,Tibetský španiel,"25,4 cm","4,1–6,8 kg",Tibetské plemená,/media/articles/2026/7e6d3dbb-93ea-4527-9f71-f5865aafc58a.jpg,editorial_complete=0,200,image/jpeg
218,civava,Čivava,,1–3 kg,Čivava,/media/articles/2026/fecce3b2-51ef-4182-981f-b84183bd5b66.jpg,chybajuca verejna vyska; editorial_complete=0,200,image/jpeg
288,cinsky-chocholaty-pes,Čínsky chocholatý pes,23–33 cm,,Bezsrsté psy,/media/articles/2026/e705182b-5485-4532-bd63-3fb9e2df028d.jpg,chybajuca verejna hmotnost; editorial_complete=0,200,image/jpeg
228,afgansky-chrt,Afganský chrt,63–74 cm,,Dlhosrsté alebo strapcovité chrty,/media/articles/2026/fad1048b-13e8-441b-89eb-48574ab6d503.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
307,azavak,Azavak,60–74 cm,15–25 kg,Krátkosrsté chrty,/media/articles/2026/59cd6cbe-5315-4f2c-acab-c6cd93ec2c1e.png,editorial_complete=0,200,image/png
158,greyhound,Greyhound,68–76 cm,,Krátkosrsté chrty,/media/articles/2026/cd48a0a5-da35-41d6-832e-57821ef7b0b9.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
240,madarsky-chrt,Maďarský chrt,62–70 cm,,Krátkosrsté chrty,/media/articles/2026/e62bbf34-d6f7-461a-8232-24ca32f77bc7.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
333,polsky-chrt,Poľský chrt,68–80 cm,,Krátkosrsté chrty,/media/articles/2026/d1f03351-2b2c-4f6d-8630-fe6841fca1f8.webp,chybajuca verejna hmotnost; editorial_complete=0,200,image/webp
193,rusky-chrt-barzoj,Ruský chrt – barzoj,68–85 cm,,Dlhosrsté alebo strapcovité chrty,/media/articles/2026/2733903b-f8c8-41f5-95e5-eb1f3b2c9b37.jpg,chybajuca verejna hmotnost; editorial_complete=0,200,image/jpeg
269,saluki,Saluki,58–71 cm,,Dlhosrsté alebo strapcovité chrty,/media/articles/2026/98d5191a-12f4-4d2e-8400-2d625f562f1a.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
188,sloughi,Sloughi,61–72 cm,,Krátkosrsté chrty,/media/articles/2026/c6918ce8-058d-4de9-a392-56e8562f3931.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
200,taliansky-chrtik,Taliansky chrtík,32–38 cm,5 kg,Krátkosrsté chrty,/media/articles/2026/cf4e5358-d7d3-494d-8a02-91f66cf56851.jpg,editorial_complete=0,200,image/jpeg
162,whippet,Whippet,"psy približne 47–51 cm, sučky približne 44–47 cm",11–18 kg,Krátkosrsté chrty,/images/breeds/whippet.webp,editorial_complete=0,200,image/webp
160,irsky-vlkodav,Írsky vlkodav,71–79 cm,"40,5–54,5 kg",Hrubosrsté chrty,/media/articles/2026/6f60e507-40d5-455d-9db1-104c7a1cddda.png,editorial_complete=0,200,image/png
164,skotsky-jeleni-pes,Škótsky jelení pes,71–76 cm,"36,5–45,5 kg",Hrubosrsté chrty,/media/articles/2026/3b1c1383-d6d2-44a7-9811-06b99feca9a0.webp,editorial_complete=0,200,image/webp
285,spanielsky-galgo,Španielsky galgo,60–70 cm,,Krátkosrsté chrty,/media/articles/2026/72b9731f-9f0c-4d71-82b2-9ae4f90f0af2.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
